,precision,recall,f1-score,support,support_proportion
E6.5,0.6863417982155113,0.3683241252302026,0.4793863854266539,2715,0.030414374852969182
E6.75,0.592814371257485,0.20135593220338982,0.3006072874493927,1475,0.016523463317911435
E7.0,0.6484793016051816,0.8167952469628448,0.7229700561202465,11277,0.1263288785329405
E7.25,0.5170645446507516,0.5565283593452608,0.536071133926116,10508,0.11771427291160227
E7.5,0.4642637722711448,0.31477367397945016,0.3751758378154737,7202,0.08067931038345637
E7.75,0.5298969072164949,0.35437801634984734,0.4247181726966889,10153,0.11373743936729139
E8.0,0.5204005294354607,0.6221962295307555,0.5667638118517125,14534,0.16281492600849137
E8.25,0.46669973076378063,0.43790719319239463,0.4518452462614899,15042,0.1685057187986602
E8.5,0.6087166550373034,0.6931727889493308,0.6482053040695016,16361,0.18328161582667726
accuracy,0.5510659034133555,0.5510659034133555,0.5510659034133555,0,0.0
macro avg,0.5594086233836794,0.4850479517492751,0.5006381372908084,89267,1.0
weighted avg,0.546120260835993,0.5510659034133555,0.5397780477726442,89267,1.0
